2023-10-21 10:41:37:849 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 10:42:09:915 [http-nio-0.0.0.0-8989-exec-4] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-21 10:51:46:846 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 10:51:51:635 [http-nio-0.0.0.0-8989-exec-2] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-21 10:52:41:993 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 10:52:47:675 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-21 19:15:55:044 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 19:19:00:026 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 19:19:34:717 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 19:19:41:521 [http-nio-0.0.0.0-8989-exec-2] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-21 19:23:25:397 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 19:23:32:487 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-21 19:25:00:505 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 19:26:59:724 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 19:27:05:114 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-21 19:27:31:884 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-21 19:27:36:141 [http-nio-0.0.0.0-8989-exec-4] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-21 19:28:05:681 [lettuce-nioEventLoop-4-2] WARN  io.lettuce.core.protocol.ConnectionWatchdog(AbstractInternalLogger.java 151) -Cannot reconnect to [localhost/<unresolved>:6379]: Connection refused: no further information: localhost/127.0.0.1:6379
