2023-10-22 15:24:00:993 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-22 15:24:59:456 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-22 20:38:38:717 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-22 20:42:57:923 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-22 20:49:57:322 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-22 20:50:11:130 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-22 21:01:12:237 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-22 21:01:19:382 [http-nio-0.0.0.0-8989-exec-1] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-22 21:02:06:804 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector(DefaultSqlInjector.java 56) -class org.example.domain.entity.UserRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2023-10-22 21:02:08:748 [http-nio-0.0.0.0-8989-exec-2] WARN  c.b.m.core.toolkit.support.ReflectLambdaMeta(ReflectLambdaMeta.java 41) -Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @2638011
2023-10-22 21:03:02:593 [lettuce-nioEventLoop-4-2] WARN  io.lettuce.core.protocol.ConnectionWatchdog(AbstractInternalLogger.java 151) -Cannot reconnect to [localhost/<unresolved>:6379]: Connection refused: no further information: localhost/127.0.0.1:6379
